flesh,frequency
0,654541
1,0
2,0
3,0
4,0
5,13829
6,14140
7,13825
8,14007
9,13794
10,14149
11,14083
12,14377
13,14530
14,14576
15,14796
16,15107
17,15167
18,15166
19,15384
20,15728
21,15666
22,16005
23,16140
24,16054
25,2417
26,2575
27,2625
28,2882
29,3024
30,2918
31,2709
32,2601
33,2473
34,2397
35,2182
36,2176
37,2046
38,1942
39,1697
40,1558
41,1409
42,1278
43,1240
44,1031
45,930
46,729
47,585
48,430
49,283
50,254
51,224
52,239
53,227
54,196
55,174
56,200
57,165
58,136
59,135
60,126
61,109
62,95
63,81
64,62
65,60
66,57
67,42
68,33
69,19
70,20
71,15
72,18
73,15
74,14
75,8
76,7
77,8
78,7
79,12
80,9
81,3
82,5
83,4
84,2
85,3
86,3
87,3
88,1
89,0
90,0
91,0
92,3
93,0
94,1
95,0
96,1
97,0
98,2
99,0
100,0
101,0
102,0
103,0
