quality,frequency
0.0,78809
13.2,72602
22.0,3602
24.0,1792
26.4,42076
28.8,1865
33.0,21265
33.6,1797
35.2,3149
37.2,1600
38.4,1836
39.6,27600
42.0,1570
43.2,1749
44.0,11083
46.2,28449
46.8,1626
48.4,1702
48.0,1789
50.4,905
51.6,1561
52.8,27074
46.0,77
50.8,58
55.0,11762
56.4,1507
57.2,9281
57.0,427
59.4,18839
57.6,1876
61.6,1168
62.4,1857
61.2,1631
64.8,886
60.0,870
66.0,31289
67.2,1864
68.4,645
68.2,10408
70.4,5283
70.2,579
72.6,11749
70.8,1616
74.8,1116
75.6,1592
72.0,2035
77.0,6612
74.4,888
79.2,23389
78.4,72
81.6,2573
81.4,5913
83.6,3449
83.8,255
85.2,1659
85.8,10179
84.6,591
88.0,4422
89.4,620
90.2,6827
91.2,2600
92.4,14762
90.0,2262
94.8,2307
94.6,3952
93.6,950
97.8,393
98.4,940
99.0,11985
99.6,2262
101.2,4907
96.8,3492
103.8,628
104.4,2318
103.4,4318
103.6,112
105.6,11623
108.6,610
108.0,1370
109.8,675
111.6,599
112.6,264
111.0,306
105.4,127
107.8,3839
109.2,2441
110.0,5887
110.4,2702
112.2,9834
112.8,1447
114.4,3279
114.8,192
116.6,2723
117.6,1449
118.8,9267
118.2,593
121.0,5060
128.2,78
120.8,334
123.2,5129
131.4,401
123.6,2441
125.4,6256
125.6,344
128.4,2506
129.8,2575
131.8,351
132.0,7876
133.2,913
133.8,711
132.4,132
136.8,1423
134.4,1136
138.8,324
138.6,4407
140.4,1029
141.6,1508
142.2,946
143.0,3322
143.4,764
145.2,5726
144.0,1239
146.2,341
149.6,2328
147.4,2482
151.8,3659
152.4,1168
154.6,358
156.8,205
156.2,2692
158.4,3996
159.2,321
160.6,1937
158.2,241
162.0,1127
163.2,1177
163.8,404
162.8,1881
165.0,3096
167.2,1746
168.8,115
169.2,537
170.2,348
171.6,3007
171.0,381
169.4,1673
171.4,148
176.4,1124
176.0,1855
178.2,2207
172.4,342
180.8,217
182.6,1235
180.6,455
184.8,2086
179.6,171
181.2,1030
180.0,865
188.4,601
189.2,1324
189.6,840
191.4,1528
192.4,176
192.8,183
194.4,871
195.6,537
195.0,447
196.2,400
191.2,123
200.4,575
201.0,374
201.6,553
202.2,223
204.4,61
205.2,493
204.0,341
206.2,106
208.2,349
207.6,503
210.2,97
211.2,1288
212.4,260
213.4,652
208.6,169
206.8,640
216.4,165
210.0,519
218.6,184
211.6,158
214.0,94
214.8,448
216.8,82
215.4,204
216.0,535
220.0,544
220.6,133
220.8,461
223.8,207
223.2,387
225.8,98
227.4,337
228.8,520
231.0,576
233.4,197
233.6,157
234.6,169
237.2,126
237.6,576
232.2,155
240.6,221
241.8,156
242.4,313
242.2,97
244.2,430
240.8,94
246.4,242
247.0,88
248.2,75
245.0,103
250.0,89
251.8,105
251.6,124
253.6,61
254.4,188
255.6,232
254.0,81
257.4,280
250.2,76
259.6,175
260.6,62
260.0,74
262.4,80
256.6,92
264.8,80
265.4,59
266.0,53
267.0,152
267.6,151
